Protocol Name	Sample ID	Cell line	Cell Type	NF2 status	AC50 (uM)	CRC	Max Resp	Log AC50 (M)	Sample Name	AUC	AUC Fit	Gene Symbol
s-nf2-hs01-1	NCGC00013226-15	HS01	schwannoma	NF2 null 		4	98.446		Trifluoperazine hydrochloride	493.409	493.414	DRD2
s-nf2-hs01-1	NCGC00013724-01	HS01	schwannoma	NF2 null 	0.008333	1.2	108.967	-8.0792	Scopolamine methylbromide	532.889	531.492	
s-nf2-hs01-1	NCGC00013822-03	HS01	schwannoma	NF2 null 		4	106.297		NSC-75503	479.248	479.754	SHH
s-nf2-hs01-1	NCGC00013841-08	HS01	schwannoma	NF2 null 		4	98.151		Cyclobenzaprine hydrochloride	530.537	528.972	HTR2A
s-nf2-hs01-1	NCGC00014352-03	HS01	schwannoma	NF2 null 		4	105.626		GANT61	531.663	532.965	SHH
s-nf2-hs01-1	NCGC00014650-03	HS01	schwannoma	NF2 null 		4	32.586		Ansamitocin P3	161.854		TUBB
s-nf2-hs01-1	NCGC00014670-16	HS01	schwannoma	NF2 null 		4	111.578		Domperidone	478.921	478.821	DRD1
s-nf2-hs01-1	NCGC00014873-04	HS01	schwannoma	NF2 null 	0.372212	1.4	30.315	-6.4292	HLI-373989	406.902	457.803	MDM2
s-nf2-hs01-1	NCGC00014891-03	HS01	schwannoma	NF2 null 		4	120.106		RG-108	494.391	545.391	DNMT1
s-nf2-hs01-1	NCGC00014911-01	HS01	schwannoma	NF2 null 	0.186548	-1.1	10.265	-6.7292	Cucurbitacin I	277.406	276.922	JAK2
s-nf2-hs01-1	NCGC00014925-07	HS01	schwannoma	NF2 null 	0.331734	-1.1	7.455	-6.4792	Topotecan hydrochloride	307.94	305.968	TOP1
s-nf2-hs01-1	NCGC00014926-03	HS01	schwannoma	NF2 null 	18.654798	-2.2	52.469	-4.7292	Carboxyamidotriazole	463.863	463.749	
s-nf2-hs01-1	NCGC00015004-11	HS01	schwannoma	NF2 null 		4	92.741		Amoxapine	530.417	529.115	HTR2A
s-nf2-hs01-1	NCGC00015026-14	HS01	schwannoma	NF2 null 		4	115.353		Atropine	580.372	580.668	CHRM1
