,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,1.0,0.0,0.0,734.0,1.0,344.08960285,7.0,3.0,25.0,0.0,344.3,344.08960285,2.0,121.0,2.1
1,1.0,0.0,0.0,633.0,1.0,354.18310932,4.0,1.0,26.0,0.0,354.4,354.18310932,8.0,71.4,4.4
2,1.0,0.0,0.0,497.0,1.0,292.12117776,3.0,1.0,22.0,0.0,292.3,292.12117776,1.0,52.9,2.4
3,0.0,0.0,0.0,780.0,1.0,518.19406792,8.0,6.0,38.0,0.0,518.6,518.19406792,5.0,156.0,6.9
4,2.0,0.0,0.0,415.0,1.0,301.17902699,3.0,3.0,22.0,0.0,301.4,301.17902699,2.0,68.4,2.3
5,7.0,3.0,0.0,712.0,1.0,412.33413066,2.0,2.0,30.0,0.0,412.6,412.33413066,5.0,40.5,6.3
6,9.0,0.0,0.0,1090.0,1.0,544.23084736,10.0,4.0,39.0,0.0,544.6,544.23084736,5.0,160.0,0.6
7,1.0,0.0,0.0,774.0,1.0,364.10592162,6.0,2.0,27.0,0.0,364.4,364.10592162,1.0,100.0,0.6
8,0.0,1.0,0.0,330.0,1.0,249.02820633,3.0,1.0,16.0,0.0,249.4,249.02820633,2.0,86.5,3.6
9,0.0,0.0,0.0,466.0,1.0,332.09094026,6.0,1.0,25.0,0.0,332.3,332.09094026,3.0,96.8,4.2
10,4.0,2.0,0.0,535.0,1.0,380.25627426,5.0,3.0,27.0,0.0,380.5,380.25627426,12.0,94.8,3.7
11,6.0,0.0,0.0,769.0,1.0,402.24062419,5.0,1.0,29.0,0.0,402.5,402.24062419,5.0,80.7,3.9
12,6.0,0.0,0.0,550.0,1.0,302.22458021,2.0,1.0,22.0,0.0,302.5,302.22458021,0.0,37.3,3.4
13,2.0,0.0,0.0,348.0,1.0,236.09094026,5.0,2.0,17.0,0.0,236.23,236.09094026,2.0,88.7,-1.2
14,4.0,0.0,0.0,367.0,1.0,285.08733205,9.0,4.0,20.0,0.0,285.23,285.08733205,2.0,140.0,-0.6
15,3.0,0.0,0.0,308.0,1.0,243.10414798,4.0,3.0,16.0,0.0,243.33,243.10414798,5.0,113.0,-0.2
16,5.0,0.0,0.0,425.0,1.0,302.1881947,3.0,2.0,22.0,0.0,302.4,302.1881947,1.0,49.7,4.0
17,10.0,0.0,0.0,869.0,1.0,480.30870376,7.0,6.0,34.0,0.0,480.6,480.30870376,5.0,138.0,0.5
18,0.0,0.0,0.0,98.4,1.0,165.92656,3.0,1.0,7.0,0.0,166.96,165.92656,2.0,54.4,0.5
19,0.0,0.0,0.0,211.0,1.0,149.07014525,2.0,2.0,11.0,0.0,149.15,149.07014525,0.0,68.1,-0.2
20,0.0,0.0,0.0,230.0,1.0,203.09462866,2.0,2.0,15.0,0.0,203.24,203.09462866,4.0,53.1,2.3
21,1.0,0.0,0.0,335.0,1.0,256.07355887,4.0,2.0,19.0,0.0,256.25,256.07355887,1.0,66.8,2.4
22,4.0,0.0,0.0,614.0,1.0,400.1158176,8.0,2.0,29.0,0.0,400.4,400.1158176,3.0,104.0,1.7
23,5.0,0.0,0.0,590.0,1.0,302.1881947,3.0,1.0,22.0,0.0,302.4,302.1881947,0.0,54.4,2.6
24,0.0,0.0,0.0,137.0,1.0,145.063997239,3.0,1.0,11.0,0.0,145.16,145.063997239,0.0,51.8,1.3
25,0.0,0.0,0.0,257.0,1.0,176.047344117,3.0,1.0,13.0,0.0,176.17,176.047344117,0.0,46.5,1.9
26,0.0,0.0,0.0,384.0,1.0,254.0579088,4.0,2.0,19.0,0.0,254.24,254.0579088,1.0,66.8,2.1
