,0
0,"""6-Bromoindirubin-3'-acetoxime"""
1,(+)-Usniacin
2,"(+-)-7-(3,5,6-trimethyl-1,4-benzoquinon-2-yl)-7-phenylheptanoic acid"
3,(-)-Blebbistatin
4,(-)-Gossypol
5,(-)-Indolactam V
6,1-alpha-Hydroxyergocalciferol
7,10-Deacetylbaccatin
8,10-hydroxycamptothecin
9,10058-F4
10,10074-G5
11,"16,16-dimethyl PGE2"
12,17 alpha-propionate
13,17-Methyltestosterone
14,17_-hydroxy Wortmannin
15,"2',3'-Dideoxyinosine"
16,2-Deoxyglucose
17,"2-Ethylhexyl-2-cyano-3,3-diphenylacrylate"
18,2-Fluoroadenosine
19,2-Iminobiotin
20,2-Methoxyestradiol
21,20-hydroxyecdysone
22,3-Bromopyruvate
23,3-Methyladenine
24,3-indolebutyric acid
25,339253
26,"4',7-Dihydroxyisoflavanone"
27,4-Demethylepipodophyllotoxin
28,4-Hydroxyandrostenedione
29,4-Quinazolinamine
30,4-methylumbelliferone
31,"5,7-Dihydroxyflavone"
32,5-Azacitidine
33,5-Hydroxytryptophan
34,6-mercaptopurine
35,7-Aminocephalosporanic acid
36,7-Hydroxystaurosporine
37,705498
38,8-Cl-Ado
39,842166X
40,A 438079
41,A 740003
42,A 804598
43,A 83-01
44,A 839977
45,A-443654
46,A-66
47,A-674563
48,A-769662
49,A-770041
50,A-803467
51,A-922500
52,A-966492
53,ABC-294640
54,ABT-199
55,ABT-702
56,ABT-737
57,AC-261066
58,AC-265347
59,AC-480
60,ACC1 BMS
61,ACY-1215
62,ADL-5859
63,ADW-742
64,ADX-47273
65,AEE-788
66,AG-041R
67,AG-1024
68,AG-13958
69,AG-14361
70,AG-1478
71,AGI-5198
72,AGI-6780
73,AHPN
74,AIM-100
75,AKT inhibitor VIII
76,AM-630
77,AMG-1
78,AMG-208
79,AMG-25
80,AMG-458
81,AMG-47a
82,AMG-51
83,AMG-900
84,AMG-Tie2-1
85,AN2728
86,AP-761
87,AP-768
88,APR-246
89,AR-00341677
90,AR-42
91,AR-C155858
92,AR7
93,ARN-509
94,ARRY-162
95,ARRY-380
96,ARRY-520
97,AS-1949490
98,AS-252424
99,AS-602801
100,AS-604850
101,AS-605240
102,ASP-3026
103,ASR-isobudimer-SO2Ph-4-CH2OC(O)NMe2
104,AST-1306
105,AT-13387AU
106,AT-406
107,AT-7867
108,AT-9283
109,AT7519
110,AV-412
111,AVN-944
112,AZ 10606120
113,AZ 11645373
114,AZ-23
115,AZ-3146
116,AZ-628
117,AZ-960
118,AZ-TAK1 Inhibitor
119,AZD-1152-HQPA
120,AZD-1480
121,AZD-2014
122,AZD-26
123,AZD-4547
124,AZD-5363
